Country_Region,Province_State,County,Combined_Key,Population_Density
US,Arizona,Yuma,"Yuma, Arizona, US",14.55270217
US,Arkansas,Arkansas,"Arkansas, Arkansas, US",7.077235454
US,Arkansas,Ashley,"Ashley, Arkansas, US",8.568999577
US,Arkansas,Baxter,"Baxter, Arkansas, US",28.71527107
US,Arkansas,Benton,"Benton, Arkansas, US",117.9774558
US,Arkansas,Boone,"Boone, Arkansas, US",24.40204536
US,Arkansas,Bradley,"Bradley, Arkansas, US",6.510797369
US,Arkansas,Calhoun,"Calhoun, Arkansas, US",3.195379922
US,Arkansas,Carroll,"Carroll, Arkansas, US",17.09180309
US,Arkansas,Chicot,"Chicot, Arkansas, US",6.48720534
US,Arkansas,Clark,"Clark, Arkansas, US",9.979357949
US,Arkansas,Clay,"Clay, Arkansas, US",9.093629023
US,Arkansas,Cleburne,"Cleburne, Arkansas, US",17.5920795
US,Arkansas,Cleveland,"Cleveland, Arkansas, US",5.313083763
US,Arkansas,Columbia,"Columbia, Arkansas, US",12.04300901
US,Arkansas,Conway,"Conway, Arkansas, US",14.61617031
US,Arkansas,Craighead,"Craighead, Arkansas, US",57.70123977
US,Arkansas,Crawford,"Crawford, Arkansas, US",40.79968711
US,Arkansas,Crittenden,"Crittenden, Arkansas, US",31.00606806
US,Arkansas,Cross,"Cross, Arkansas, US",10.64756188
US,Arkansas,Dallas,"Dallas, Arkansas, US",4.299625822
US,Arkansas,Desha,"Desha, Arkansas, US",5.974983295
US,Arkansas,Drew,"Drew, Arkansas, US",8.623895565
US,Arkansas,Faulkner,"Faulkner, Arkansas, US",72.94679147
US,Arkansas,Franklin,"Franklin, Arkansas, US",11.27518456
US,Arkansas,Fulton,"Fulton, Arkansas, US",7.581608118
US,Arkansas,Garland,"Garland, Arkansas, US",55.99985179
US,Arkansas,Grant,"Grant, Arkansas, US",11.05241582
US,Arkansas,Greene,"Greene, Arkansas, US",29.82410541
US,Arkansas,Hempstead,"Hempstead, Arkansas, US",11.68517302
US,Arkansas,Hot Spring,"Hot Spring, Arkansas, US",21.03703075
US,Arkansas,Howard,"Howard, Arkansas, US",8.78324092
US,Arkansas,Independence,"Independence, Arkansas, US",18.83321817
US,Arkansas,Izard,"Izard, Arkansas, US",9.017189389
US,Arkansas,Jackson,"Jackson, Arkansas, US",10.49119353
US,Arkansas,Jefferson,"Jefferson, Arkansas, US",31.2545148
US,Arkansas,Johnson,"Johnson, Arkansas, US",15.38292036
US,Arkansas,Lafayette,"Lafayette, Arkansas, US",5.053796893
US,Arkansas,Lawrence,"Lawrence, Arkansas, US",10.95289483
US,Arkansas,Lee,"Lee, Arkansas, US",6.021341533
US,Arkansas,Lincoln,"Lincoln, Arkansas, US",9.416005919
US,Arkansas,Little River,"Little River, Arkansas, US",9.007542588
US,Arkansas,Logan,"Logan, Arkansas, US",11.86296384
US,Arkansas,Lonoke,"Lonoke, Arkansas, US",36.16397177
US,Arkansas,Madison,"Madison, Arkansas, US",7.440154385
US,Arkansas,Marion,"Marion, Arkansas, US",10.63184711
US,Arkansas,Miller,"Miller, Arkansas, US",27.00125271
US,Arkansas,Mississippi,"Mississippi, Arkansas, US",18.36285781
US,Arkansas,Monroe,"Monroe, Arkansas, US",4.609912671
US,Arkansas,Montgomery,"Montgomery, Arkansas, US",4.452369013
US,Arkansas,Nevada,"Nevada, Arkansas, US",5.274363826
US,Arkansas,Newton,"Newton, Arkansas, US",3.691189254
US,Arkansas,Ouachita,"Ouachita, Arkansas, US",12.70141532
US,Arkansas,Perry,"Perry, Arkansas, US",7.22554351
US,Arkansas,Phillips,"Phillips, Arkansas, US",10.56464774
US,Arkansas,Pike,"Pike, Arkansas, US",6.947737181
US,Arkansas,Poinsett,"Poinsett, Arkansas, US",12.24652429
US,Arkansas,Polk,"Polk, Arkansas, US",9.076778703
US,Arkansas,Pope,"Pope, Arkansas, US",30.24304863
US,Arkansas,Prairie,"Prairie, Arkansas, US",4.912934335
US,Arkansas,Pulaski,"Pulaski, Arkansas, US",200.1765891
US,Arkansas,Randolph,"Randolph, Arkansas, US",10.42059243
US,Arkansas,St. Francis,"St. Francis, Arkansas, US",15.99262769
US,Arkansas,Saline,"Saline, Arkansas, US",62.97248504
US,Arkansas,Scott,"Scott, Arkansas, US",4.518266116
US,Arkansas,Searcy,"Searcy, Arkansas, US",4.592572331
US,Arkansas,Sebastian,"Sebastian, Arkansas, US",92.52384261
US,Arkansas,Sevier,"Sevier, Arkansas, US",11.74641335
US,Arkansas,Sharp,"Sharp, Arkansas, US",10.88689047
US,Arkansas,Stone,"Stone, Arkansas, US",7.924463969
US,Arkansas,Union,"Union, Arkansas, US",14.76172209
US,Arkansas,Van Buren,"Van Buren, Arkansas, US",9.076268141
US,Arkansas,Washington,"Washington, Arkansas, US",93.66695805
US,Arkansas,White,"White, Arkansas, US",29.39513161
US,Arkansas,Woodruff,"Woodruff, Arkansas, US",4.382376797
US,Arkansas,Yell,"Yell, Arkansas, US",8.954998447
US,California,Alameda,"Alameda, California, US",860.7570749
US,California,Alpine,"Alpine, California, US",0.599280666
US,California,Amador,"Amador, California, US",24.56534526
US,California,Butte,"Butte, California, US",53.57515906
US,California,Calaveras,"Calaveras, California, US",17.12260581
US,California,Colusa,"Colusa, California, US",7.201880119
US,California,Contra Costa,"Contra Costa, California, US",610.1802904
US,California,Del Norte,"Del Norte, California, US",10.52293111
US,California,El Dorado,"El Dorado, California, US",42.19958001
US,California,Fresno,"Fresno, California, US",63.38567736
US,California,Glenn,"Glenn, California, US",8.197380559
US,California,Humboldt,"Humboldt, California, US",14.69107797
US,California,Imperial,"Imperial, California, US",16.65999073
US,California,Inyo,"Inyo, California, US",0.685856011
US,California,Kern,"Kern, California, US",41.92545231
US,California,Kings,"Kings, California, US",41.67726795
US,California,Lake,"Lake, California, US",19.71137641
US,California,Lassen,"Lassen, California, US",2.651421461
US,California,Los Angeles,"Los Angeles, California, US",960.7427779
US,California,Madera,"Madera, California, US",28.00789771
US,California,Marin,"Marin, California, US",193.1005061
US,California,Mariposa,"Mariposa, California, US",4.674251881
US,California,Mendocino,"Mendocino, California, US",9.626461049
US,California,Merced,"Merced, California, US",53.67222176
US,California,Modoc,"Modoc, California, US",0.881376109
US,California,Mono,"Mono, California, US",1.794895517
US,California,Monterey,"Monterey, California, US",50.96841445
US,California,Napa,"Napa, California, US",72.50862772
US,California,Nevada,"Nevada, California, US",39.9469912
US,California,Orange,"Orange, California, US",1541.02667
US,California,Placer,"Placer, California, US",104.2928314
US,California,Plumas,"Plumas, California, US",2.827868464
US,California,Riverside,"Riverside, California, US",127.6881106
US,California,Sacramento,"Sacramento, California, US",603.8906191
US,California,San Benito,"San Benito, California, US",16.52008807
US,California,San Bernardino,"San Bernardino, California, US",41.10128555
US,California,San Diego,"San Diego, California, US",302.9941503
US,California,San Francisco,"San Francisco, California, US",7168.190471
US,California,San Joaquin,"San Joaquin, California, US",203.0389818
US,California,San Luis Obispo,"San Luis Obispo, California, US",32.9240586
US,California,San Mateo,"San Mateo, California, US",659.1746544
US,California,Santa Barbara,"Santa Barbara, California, US",62.63967412
US,California,Santa Clara,"Santa Clara, California, US",574.8383699
US,California,Santa Cruz,"Santa Cruz, California, US",237.464658
US,California,Shasta,"Shasta, California, US",18.31466417
US,California,Sierra,"Sierra, California, US",1.186862083
US,California,Siskiyou,"Siskiyou, California, US",2.677418441
US,California,Solano,"Solano, California, US",206.0444057
US,California,Sonoma,"Sonoma, California, US",122.8269245
US,California,Stanislaus,"Stanislaus, California, US",139.1865627
US,California,Sutter,"Sutter, California, US",61.43488729
US,California,Tehama,"Tehama, California, US",8.296818814
US,California,Trinity,"Trinity, California, US",1.562009465
US,California,Tulare,"Tulare, California, US",36.85265632
US,California,Tuolumne,"Tuolumne, California, US",9.376087587
US,California,Ventura,"Ventura, California, US",177.7279193
US,California,Yolo,"Yolo, California, US",81.79800558
US,California,Yuba,"Yuba, California, US",46.11910409
US,Colorado,Adams,"Adams, Colorado, US",164.5753082
US,Colorado,Alamosa,"Alamosa, Colorado, US",8.78669511
US,Colorado,Arapahoe,"Arapahoe, Colorado, US",308.0717154
US,Colorado,Archuleta,"Archuleta, Colorado, US",3.691471259
US,Colorado,Baca,"Baca, Colorado, US",0.538428946
US,Colorado,Bent,"Bent, Colorado, US",1.482547663
US,Colorado,Boulder,"Boulder, Colorado, US",170.6435299
US,Colorado,Broomfield,"Broomfield, Colorado, US",773.5251676
US,Colorado,Chaffee,"Chaffee, Colorado, US",7.301362223
US,Colorado,Cheyenne,"Cheyenne, Colorado, US",0.442710949
US,Colorado,Clear Creek,"Clear Creek, Colorado, US",9.163100806
US,Colorado,Conejos,"Conejos, Colorado, US",2.441785257
US,Colorado,Costilla,"Costilla, Colorado, US",1.159633689
US,Colorado,Crowley,"Crowley, Colorado, US",2.760578135
US,Colorado,Custer,"Custer, Colorado, US",2.42546915
US,Colorado,Delta,"Delta, Colorado, US",10.25862867
US,Colorado,Denver,"Denver, Colorado, US",1746.533667
US,Colorado,Dolores,"Dolores, Colorado, US",0.666073672
US,Colorado,Douglas,"Douglas, Colorado, US",151.0009727
US,Colorado,Eagle,"Eagle, Colorado, US",12.45931034
US,Colorado,Elbert,"Elbert, Colorado, US",5.249033937
US,Colorado,El Paso,"El Paso, Colorado, US",124.925569
US,Colorado,Fremont,"Fremont, Colorado, US",11.83731376
US,Colorado,Garfield,"Garfield, Colorado, US",7.667957958
US,Colorado,Gilpin,"Gilpin, Colorado, US",15.2590355
US,Colorado,Grand,"Grand, Colorado, US",3.150392993
US,Colorado,Gunnison,"Gunnison, Colorado, US",1.971192463
US,Colorado,Hinsdale,"Hinsdale, Colorado, US",0.303426738
US,Colorado,Huerfano,"Huerfano, Colorado, US",1.597522272
US,Colorado,Jackson,"Jackson, Colorado, US",0.310082694
US,Colorado,Jefferson,"Jefferson, Colorado, US",288.1670164
US,Colorado,Kiowa,"Kiowa, Colorado, US",0.316472037
US,Colorado,Kit Carson,"Kit Carson, Colorado, US",1.364245023
US,Colorado,Lake,"Lake, Colorado, US",7.769797883
US,Colorado,La Plata,"La Plata, Colorado, US",12.59013432
US,Colorado,Larimer,"Larimer, Colorado, US",50.29906087
US,Colorado,Las Animas,"Las Animas, Colorado, US",1.146996368
US,Colorado,Lincoln,"Lincoln, Colorado, US",0.831016797
US,Colorado,Logan,"Logan, Colorado, US",4.554648651
US,Colorado,Mesa,"Mesa, Colorado, US",17.39732685
US,Colorado,Mineral,"Mineral, Colorado, US",0.36284133
US,Colorado,Moffat,"Moffat, Colorado, US",1.063089924
US,Colorado,Montezuma,"Montezuma, Colorado, US",4.929472968
US,Colorado,Montrose,"Montrose, Colorado, US",7.110239919
US,Colorado,Morgan,"Morgan, Colorado, US",8.520276893
US,Colorado,Otero,"Otero, Colorado, US",5.606676985
US,Colorado,Ouray,"Ouray, Colorado, US",3.366318394
US,Colorado,Park,"Park, Colorado, US",3.060796323
US,Colorado,Phillips,"Phillips, Colorado, US",2.42349412
US,Colorado,Pitkin,"Pitkin, Colorado, US",7.123409994
US,Colorado,Prowers,"Prowers, Colorado, US",2.840156146
US,Colorado,Pueblo,"Pueblo, Colorado, US",26.6484169
US,Colorado,Rio Blanco,"Rio Blanco, Colorado, US",0.774968455
US,Colorado,Rio Grande,"Rio Grande, Colorado, US",4.805762482
US,Colorado,Routt,"Routt, Colorado, US",4.065971747
US,Colorado,Saguache,"Saguache, Colorado, US",0.78815115
US,Colorado,San Juan,"San Juan, Colorado, US",0.542015888
US,Colorado,San Miguel,"San Miguel, Colorado, US",2.390921614
US,Colorado,Sedgwick,"Sedgwick, Colorado, US",1.655606826
US,Colorado,Summit,"Summit, Colorado, US",19.31275691
US,Colorado,Teller,"Teller, Colorado, US",16.71340388
US,Colorado,Washington,"Washington, Colorado, US",0.742125633
US,Colorado,Weld,"Weld, Colorado, US",28.58676378
US,Colorado,Yuma,"Yuma, Colorado, US",1.644250309
US,Connecticut,Fairfield,"Fairfield, Connecticut, US",583.4165304
US,Connecticut,Hartford,"Hartford, Connecticut, US",470.033815
US,Connecticut,Litchfield,"Litchfield, Connecticut, US",76.77098216
US,Connecticut,Middlesex,"Middlesex, Connecticut, US",170.7988153
US,Connecticut,New Haven,"New Haven, Connecticut, US",548.8569872
US,Connecticut,New London,"New London, Connecticut, US",156.0796361
US,Connecticut,Tolland,"Tolland, Connecticut, US",142.3296361
US,Connecticut,Windham,"Windham, Connecticut, US",87.72291173
US,Delaware,Kent,"Kent, Delaware, US",115.2242931
US,Delaware,New Castle,"New Castle, Delaware, US",502.7696186
US,Delaware,Sussex,"Sussex, Delaware, US",90.54899837
US,District of Columbia,District of Columbia,"District of Columbia, District of Columbia, US",4322.952569
US,Florida,Alachua,"Alachua, Florida, US",116.1122104
US,Florida,Baker,"Baker, Florida, US",18.33099273
US,Florida,Bay,"Bay, Florida, US",92.88574252
US,Florida,Bradford,"Bradford, Florida, US",35.43517528
US,Florida,Brevard,"Brevard, Florida, US",219.3764634
US,Florida,Broward,"Broward, Florida, US",612.6877168
US,Florida,Calhoun,"Calhoun, Florida, US",9.829928189
US,Florida,Charlotte,"Charlotte, Florida, US",100.3107253
US,Florida,Citrus,"Citrus, Florida, US",94.93927794
US,Florida,Clay,"Clay, Florida, US",132.3380171
US,Florida,Collier,"Collier, Florida, US",70.38522842
US,Florida,Columbia,"Columbia, Florida, US",33.45442557
US,Florida,DeSoto,"DeSoto, Florida, US",22.07300896
US,Florida,Dixie,"Dixie, Florida, US",9.000593262
US,Florida,Duval,"Duval, Florida, US",467.7286986
US,Florida,Escambia,"Escambia, Florida, US",183.0818998
US,Florida,Flagler,"Flagler, Florida, US",85.26646662
US,Florida,Franklin,"Franklin, Florida, US",8.312154044
US,Florida,Gadsden,"Gadsden, Florida, US",34.41309565
US,Florida,Gilchrist,"Gilchrist, Florida, US",19.44892619
US,Florida,Glades,"Glades, Florida, US",6.396443472
US,Florida,Gulf,"Gulf, Florida, US",11.20100125
US,Florida,Hamilton,"Hamilton, Florida, US",10.72301185
US,Florida,Hardee,"Hardee, Florida, US",16.48852955
US,Florida,Hendry,"Hendry, Florida, US",13.3997
US,Florida,Hernando,"Hernando, Florida, US",149.2023044
US,Florida,Highlands,"Highlands, Florida, US",38.75140638
US,Florida,Hillsborough,"Hillsborough, Florida, US",521.0066098
US,Florida,Holmes,"Holmes, Florida, US",15.66641222
US,Florida,Indian River,"Indian River, Florida, US",115.9449839
US,Florida,Jackson,"Jackson, Florida, US",20.38294824
US,Florida,Jefferson,"Jefferson, Florida, US",9.105798596
US,Florida,Lafayette,"Lafayette, Florida, US",6.213187459
US,Florida,Lake,"Lake, Florida, US",136.1988861
US,Florida,Lee,"Lee, Florida, US",354.8307687
US,Florida,Leon,"Leon, Florida, US",166.8139264
US,Florida,Levy,"Levy, Florida, US",13.79768236
US,Florida,Liberty,"Liberty, Florida, US",3.865349802
US,Florida,Madison,"Madison, Florida, US",10.24056807
US,Florida,Manatee,"Manatee, Florida, US",194.2390085
US,Florida,Marion,"Marion, Florida, US",84.68030731
US,Florida,Martin,"Martin, Florida, US",111.8867742
US,Florida,Miami-Dade,"Miami-Dade, Florida, US",552.1870708
US,Florida,Monroe,"Monroe, Florida, US",29.97806808
US,Florida,Nassau,"Nassau, Florida, US",47.960964
US,Florida,Okaloosa,"Okaloosa, Florida, US",83.31780277
US,Florida,Okeechobee,"Okeechobee, Florida, US",20.37434037
US,Florida,Orange,"Orange, Florida, US",565.2007179
US,Florida,Osceola,"Osceola, Florida, US",98.47136801
US,Florida,Palm Beach,"Palm Beach, Florida, US",284.088504
US,Florida,Pasco,"Pasco, Florida, US",264.0275519
US,Florida,Pinellas,"Pinellas, Florida, US",1351.009895
US,Florida,Polk,"Polk, Florida, US",143.6573523
US,Florida,Putnam,"Putnam, Florida, US",38.59923128
US,Florida,St. Johns,"St. Johns, Florida, US",151.366953
US,Florida,St. Lucie,"St. Lucie, Florida, US",206.3889596
US,Florida,Santa Rosa,"Santa Rosa, Florida, US",65.00332156
US,Florida,Sarasota,"Sarasota, Florida, US",285.7580921
US,Florida,Seminole,"Seminole, Florida, US",567.9030651
US,Florida,Sumter,"Sumter, Florida, US",83.85731716
US,Florida,Suwannee,"Suwannee, Florida, US",24.63015902
US,Florida,Taylor,"Taylor, Florida, US",8.177839655
US,Florida,Union,"Union, Florida, US",24.1579477
US,Florida,Volusia,"Volusia, Florida, US",184.9915148
US,Florida,Wakulla,"Wakulla, Florida, US",20.2958573
US,Florida,Walton,"Walton, Florida, US",24.50311443
US,Florida,Washington,"Washington, Florida, US",16.22262188
US,Georgia,Appling,"Appling, Georgia, US",14.01828756
US,Georgia,Atkinson,"Atkinson, Georgia, US",9.311240898
US,Georgia,Bacon,"Bacon, Georgia, US",15.26007768
US,Georgia,Baker,"Baker, Georgia, US",3.600682675
US,Georgia,Baldwin,"Baldwin, Georgia, US",67.58826619
US,Georgia,Banks,"Banks, Georgia, US",30.7975219
US,Georgia,Barrow,"Barrow, Georgia, US",184.3449202
US,Georgia,Bartow,"Bartow, Georgia, US",87.06431394
US,Georgia,Ben Hill,"Ben Hill, Georgia, US",26.47984793
US,Georgia,Berrien,"Berrien, Georgia, US",16.20197066
US,Georgia,Bibb,"Bibb, Georgia, US",237.6230669
US,Georgia,Bleckley,"Bleckley, Georgia, US",22.84919033
US,Georgia,Brantley,"Brantley, Georgia, US",16.17660577
US,Georgia,Brooks,"Brooks, Georgia, US",12.23231715
US,Georgia,Bryan,"Bryan, Georgia, US",31.66554713
US,Georgia,Bulloch,"Bulloch, Georgia, US",42.71567016
US,Georgia,Burke,"Burke, Georgia, US",10.52749269
US,Georgia,Butts,"Butts, Georgia, US",49.92067542
US,Georgia,Calhoun,"Calhoun, Georgia, US",8.851659627
US,Georgia,Camden,"Camden, Georgia, US",32.29088126
US,Georgia,Candler,"Candler, Georgia, US",17.19879927
US,Georgia,Carroll,"Carroll, Georgia, US",89.76724683
US,Georgia,Catoosa,"Catoosa, Georgia, US",157.855196
US,Georgia,Charlton,"Charlton, Georgia, US",6.425905488
US,Georgia,Chatham,"Chatham, Georgia, US",255.8861832
US,Georgia,Chattahoochee,"Chattahoochee, Georgia, US",16.71307246
US,Georgia,Chattooga,"Chattooga, Georgia, US",30.5811718
US,Georgia,Cherokee,"Cherokee, Georgia, US",221.8137088
US,Georgia,Clarke,"Clarke, Georgia, US",403.5373333
US,Georgia,Clay,"Clay, Georgia, US",5.92972984
US,Georgia,Clayton,"Clayton, Georgia, US",759.4524648
US,Georgia,Clinch,"Clinch, Georgia, US",3.194479252
US,Georgia,Cobb,"Cobb, Georgia, US",846.6897774
US,Georgia,Coffee,"Coffee, Georgia, US",28.0050694
US,Georgia,Colquitt,"Colquitt, Georgia, US",32.18979963
US,Georgia,Columbia,"Columbia, Georgia, US",196.0552786
US,Georgia,Cook,"Cook, Georgia, US",29.06445414
US,Georgia,Coweta,"Coweta, Georgia, US",123.0428652
US,Georgia,Crawford,"Crawford, Georgia, US",14.66866007
US,Georgia,Crisp,"Crisp, Georgia, US",32.35111079
US,Georgia,Dade,"Dade, Georgia, US",36.01155909
US,Georgia,Dawson,"Dawson, Georgia, US",43.69808396
US,Georgia,Decatur,"Decatur, Georgia, US",17.34890996
US,Georgia,DeKalb,"DeKalb, Georgia, US",1071.792083
US,Georgia,Dodge,"Dodge, Georgia, US",16.28549963
US,Georgia,Dooly,"Dooly, Georgia, US",13.67379756
US,Georgia,Dougherty,"Dougherty, Georgia, US",106.9675386
US,Georgia,Douglas,"Douglas, Georgia, US",273.6920768
US,Georgia,Early,"Early, Georgia, US",7.794360252
US,Georgia,Echols,"Echols, Georgia, US",3.668091972
US,Georgia,Effingham,"Effingham, Georgia, US",47.32731502
US,Georgia,Elbert,"Elbert, Georgia, US",21.12744236
US,Georgia,Emanuel,"Emanuel, Georgia, US",12.76414276
US,Georgia,Evans,"Evans, Georgia, US",22.64537743
US,Georgia,Fannin,"Fannin, Georgia, US",24.86526439
US,Georgia,Fayette,"Fayette, Georgia, US",221.2247862
US,Georgia,Floyd,"Floyd, Georgia, US",73.327379
US,Georgia,Forsyth,"Forsyth, Georgia, US",378.0699634
US,Georgia,Franklin,"Franklin, Georgia, US",33.23399178
US,Georgia,Fulton,"Fulton, Georgia, US",749.0585218
US,Georgia,Gilmer,"Gilmer, Georgia, US",27.10603808
US,Georgia,Glascock,"Glascock, Georgia, US",8.082208149
US,Georgia,Glynn,"Glynn, Georgia, US",77.27916697
